COUNTRY_CODE	COUNTRY_NAME	LAST_MODIFIED_ON
Vietnam	Vietnam	2014-10-20 12:16:27.290
Cambodia	Cambodia	2014-10-20 12:15:37.480
China	Chinese	2014-10-20 11:55:46.777
Indonesia	Indonesia	2014-10-20 12:11:16.353
UAE	United Arab Emirates	2014-10-20 12:10:18.403
Singapore	Singapore	2014-10-20 12:12:32.240
UK	United Kingdom	2014-10-20 12:08:54.453
NA	Not Applicable	2014-09-18 14:53:34.057
Malaysia	Malaysia	2014-10-20 12:14:38.810
Hong Kong	Hong Kong	2014-10-20 12:13:25.660
Ind	India	NULL
