BSCC_CODE	BSCC_NAME
4503101	1126_Retail_TN_Krishnagiri
4502001	8076_Rural_TN_Edappadi
3403401	8152_Rural_MP_Bina
4508603	4031_ABF_TN_Vellore ( S )
3303101	8078_Rural_GUJ_Limkheda
4202101	8111_Rural_KRN_Mudalgi
4505802	8089_Rural_TN_Pollachi
5301521	1863_Retail_WB_Kolkata_Esplanade
4508102	1176_Retail_TN_Thoothukkudi
3304901	0429_Retail_GUJ_Vadodra
1704401	8172_Rural_RAJ_Sri Madhopur
1800502	0742_Retail_UP_BAR_CivilLines_CircuitHouse
3504623	4016_ABF_MH_Pune ( W )
1900802	1151_Retail_UTC_Rudrapur
4508103	8215_TN_Rural_Kovilpatti
4508602	0567_Retail_TN_VEL_IdascudderRd
3505802	0096_Retail_MH_BOM_Airoli
3504616	0500_Retail_MH_Pune_ShriPrasadBldg
3500101	0474_Retail_MH_Ahmadnagar
1601701	0504_Retail_HYN_KAR_HudaMkt
4504402	0948_Retail_TN_Nagercoil
4508905	8213_TN_Rural_Aruppukotoi
5100505	1296_Retail_JHK_Jamshedpur
3303001	8062_Rural_GUJ_Kheda
1700702	1166_Retail_RAJ_BEA_Beawar
1701004	8166_Rural_RAJ_Bhilwara
3506303	8207_MH_Rural_Wani
1701002	0523_Retail_RAJ_BHI_NagarParishad
1802409	1744_Retail_UP_LUC_Mort
4106703	1219_Retail_AP_Ramagundam
3300120	8102_Rural_GUJ_Ahmedabad_Regional ( W )
3506801	8165_Rural_MH_Darwaha
4204401	0151_Retail_KRN_RAI_MutyalaRaoCmplx
3400903	4017_ABF_MP_Gwalior( W )
3402302	1183_Retail_MP_Rewa
4204201	8011_Rural_KRN_Nippani
3100806	4008_ABF_CG_RAI_West
4109001	8032_Rural_AP_Yelamanchilli
3303802	8098_Rural_GUJ_Nadiad
4101501	0657_Retail_AP_CHT_ChurchSt
1700102	0370_Retail_RAJ_AJM_IndiaMotorCircle_Kuch
1602702	0313_Retail_PUN_PAT_SherawalaGate
4202501	8122_Rural_KRN_DAV_Harihara
4106403	4504_Rural_AP_Rajahmundry
4204301	8096_Rural_KRN_Rabkavi
4105201	0342_Retail_AP_NEL_RameshReddyNgr
1703205	8191_RAJ_Rural_Jaitaran
1300302	0118_Retail_HYN_NeelamBataRd
1800202	0715_Retail_UP_ALI_SamadRd
4502202	8082_Rural_TN_Gobichettipalayam
3400302	8177_MP_Rural_Burhanpur
4508101	0239_Retail_TN_Thoothukkudi
4205901	8158_Rural_KRN_Krishnaraja Nagar
3505605	4507_Rural_MH_Solapur
1802406	1063_Retail_UP_Lakhimpur
3200202	0975_Retail_Goa_Margao
3504302	8095_Rural_MH_Pandharpur
4104201	0965_Retail_AP_KOT_MainBazar
1600101	1228_Retail_PUN_Abohar
4200308	0072_Retail_KRN_Bangalore
4200321	1650_Retail_KRN_Bangalore_Credit
4503901	8019_Rural_TN_Melur
4205801	8157_Rural_KRN_Belur
1300405	1665_SME_HYN_Gurgaon
3500902	0125_Retail_MH_AUR_OberaiTowers
3503508	0361_Retail_MH_BOM_Andheri ( E )_MehtaTradeCentre
3300132	8199_GUJ_Rural_Kathwada
3401702	1187_Retail_MP_Mandsaur
5301518	0988_Retail_WB_KOL_Phoolbagan
1400502	0729_Retail_HP_SOL_RajgarhRd
1600801	1282_Retail_PUN_Dharmsala
4504801	8060_Rural_TN_Ottamchattiram
3503550	8037_Rural_MH_BOM_Roll Out
3302502	0922_Retail_GUJ_JUN_BalajiAvenue
4200202	8193_KRN_Rural_Bagalkot
1803402	0720_Retail_UP_SAH_VikramBhavan
3503613	8204_MH_Rural_Hingna
4502501	1259_Retail_TN_Karaikal
1803902	0248_Retail_UP_Varanasi
3401218	8243_Rural_Mhow Branch
4201301	8061_Rural_KRN_Chikkodi
5200101	1444_Retail_ORS_Angul
1601508	4030_ABF_PUN_Jalandhar ( N )
4203901	8053_Rural_KRN_Mudhol
1300301	0080_Retail_HYN_NeelamBataRd
4501034	0997_Central_TN_Chennai_Ops Ofc
4200403	4505_Rural_KRN_Belgaum
3300302	0654_Retail_GUJ_ANA_VBRd
1300802	0558_Retail_HYN_PAN_GTRd
3305103	0491_Retail_GUJ_VAD_SonaParkSociety
3503502	0074_Retail_MH_BOM_Kandvali ( W )_AkankshaCHS
4502103	4506_Rural_TN_Erode
4505701	8027_Rural_TN_Perundurai
3503201	0652_Retail_MH_LAT_KamdarRd
4107001	8049_Rural_AP_Srungavarapukota
1800105	4015_ABF_UP_Agra_North
4201601	0195_Retail_KRN_Davangere
1703201	0522_Retail_RAJ_PAL_AhinsaCmplx
1801907	1745_Retail_UP_KAN_Mort
3504501	0212_Retail_MH_PAR_RajkamalAutomobiles
3300106	0066_Retail_GUJ_AHM_ShreehiCmplx
1702702	0486_Retail_RAJ_Kota_MehtaCompound
8245_Rural	8245_Rural_Dhar Branch
5301544	4520_ABF_WB_Kolkata
1701601	8119_Rural_RAJ_Udaipur
4503201	8051_Rural_TN_Kulithalai
3400501	1265_Retail_MP_Chindwara
1702901	8139_Rural_RAJ_Kuchhaman
4508002	0264_Retail_TN_TRI_KarurBypassRd
1801402	4026_ABF_UP_GOR_Gorakhpur_North
3505001	8088_Rural_MH_Sangamner
4501003	0063_Retail_TN_CHN_SRPKoilSt
1701101	0485_Retail_RAJ_BIK_PanchShati
4500201	8066_Rural_TN_Andhiyur
1702002	0069_Retail_RAJ_JPR_AjmerRd
4501037	1663_SME_TN_CHN_RP Vadapalani
3300601	8109_Rural_GUJ_Bayad
4504601	8083_Rural_TN_Omalur
3505803	0260_Retail_MH_BOM_Thane
4502101	0332_Retail_TN_ERO_PerunduraiRd
4200801	0150_Retail_KRN_BIJ_SSrd
4108601	0295_Retail_AP_VKP_SuryaBagh
1801901	0537_Retail_UP_KAN_GTRd
4203101	8124_Rural_KRN_Ilkal
1601301	0166_Retail_PUN_HOS_ChandigarhRd
4101701	0187_Retail_AP_CUD_MadrasRd
4508001	0017_Retail_TN_TRI_TheodreComplex
1801802	0717_Retail_UP_JHA_Jhansi
4108702	0981_Retail_AP_Vizianagaram
1702401	8114_Rural_RAJ_Kanota
1900202	1068_Retail_UTC_HAL_DurgaCityCmplx
5200201	1440_Retail_ORS_Balasore
1704601	8190_RAJ_Rural_Nagour
3401104	8179_MP_Rural_Seoni Malwa
3100602	4019_ABF_CG_Korba
3401301	1337_Retail_MP_Itarsi
5301513	0711_Retail_WB_KOL_RafiAhmedKidwaiRd
3504635	1875_Shivaji Nagar_Pune
1602008	1713_Retail_Ludhiana
1600902	1286_Retail_PUN_Faridkot
1300403	0908_Central_HYN_Gurgaon_Guest House
3402403	1785_Retail_MP_Sagar
3503604	0300_Retail_MH_NGP_SwalambNgr
1700101	0278_Retail_RAJ_AJM_IndiaMotorCircle_Kuch
3505501	8105_Rural_MH_Shrirampur
1801801	0190_Retail_UP_JHA_Jhansi
5300801	0990_Retail_WB_HOO_Sreerampore
3502101	8136_Rural_MH_Pune_Daund
4501025	1731_Retail_TN_Chennai_Mort
4102806	0035_Retail_AP_HYD_Raniganj
4506405	4501_Rural_TN_Salem
4200101	8127_Rural_KRN_Arsikere
3503004	8071_Rural_MH_Kolhapur
3500402	1072_Retail_MH_Akola
1702012	1735_Retail_MORT_RAJ_Jaipur
4504201	8050_Rural_TN_Musiri
3506701	8164_Rural_MH_Hinganghat
1300404	0085_Retail_HYN_Regional Office ( N )
1702301	0121_Retail_RAJ_JOD_PWDColony
3403801	8248_Rural_Ashoknagar Branch
3503548	1662_MH_BOM_Sakinaka_RP Mirchandani Business Park
4501601	8030_Rural_TN_Dharapuram
4202802	1215_Retail_KRN_Hospet
4400101	0267_Retail_TN_PON_SVPatelSalai
4203301	8126_Rural_KRN_CHI_Kadur
3300119	4002_ABF_GUJ_Ahmedabad ( W )
4501309	8069_Rural_TN_Coimbatore
4102601	0025_Retail_AP_HYD_Himyatnagar
4108607	4032_ABF_AP_Vishakhapatnam ( S )
1700801	8140_Rural_RAJ_ALW_Behrod
3301803	4003_ABF_GUJ_Gandhidham (W)
4508601	0550_Retail_TN_VEL_BattaiSt_Velapadi
4101601	8064_Rural_AP_Chodavaram
3301801	0492_Retail_GUJ_GAN_AumCorner
4102825	1664_SME_AP_HYD_Himayat Ngr
3401407	8185_MP_Rural_Aadhartal
5200302	1620_Retail_ORS_Behrampur
8218_Durg	8218_Durg Branch
1300201	1245_Retail_HYN_Bahadurgarh
3503608	0736_Retail_MH_Nagpur
4105501	0565_Retail_AP_NIZ_Khaleelwadi
5301510	0609_Retail_WB_Kolkata
4202901	0680_Retail_TN_Hosur
3504627	1661_Retail_MH_Pune_Credit Hub
3500706	8208_MH_Rural_Warud
Default	Default
4506801	8059_Rural_TN_Sulur
1700203	4503_Rural_Alwar
3100603	1285_Retail_CG_Korba
3303601	0426_Retail_GUJ_Rajkot
3504902	1070_Retail_MH_Ratnagiri
4508301	8142_Rural_TN_Mad_Vadipatti
4508201	1248_Retail_TN_Udumalpet
3505901	8100_Rural_MH_OSM_Tuljapur
3304001	8118_Rural_RAJ_Padra
1200111	1652_Retail_DEL_Credit Hub
1702015	4502_Rural_JPR
4203001	0129_Retail_KRN_HUB_GirirajAnnexe
1601302	0734_Retail_PUN_HOS_ChandigarhRd
4108201	0588_Retail_AP_TEN_OppTownChurch
5301505	0389_Retail_WB_KOL_SatkariChambers
3506401	8161_Rural_MH_Ahmednagar
4503401	8044_Rural_TN_Lalgudi
4102820	4011_ABF_AP_Hyderabad ( S )
1200108	4029_ABF_DEL_North
3302601	8077_Rural_GUJ_Kadi
3503520	9980_Retail_MH_BOM_Central
1802402	0277_Retail_UP_LUC_SapruMarg
1802414	1872_CR_HUB_Lucknow
1301002	0559_Retail_HYN_ROH_BabuAshaRamMkt
3503801	1232_Retail_MH_Nandurbar
3403201	8148_Rural_MP_Obedullahganj
4507401	8052_Rural_TN_Thuraiyur
3401207	0735_Retail_MP_IDR_VijayNgr
1701801	0613_Retail_RAJ_HAN_DhillonComplx
1703602	8138_Rural_RAJ_Sikar
